player_ref_id,points_per_game,rebounds_per_game,assists_per_game,effective_fgp,efficiency_rating,win_shares,value_over_replacement,true_shooting_pct,steals_per_game,blocks_per_game,minutes_per_game
stoneju01,1.1428571428571428,1.1,1.1,0.524,9.5,0.9,0.2,0.557,0.22857142857142856,0.11428571428571428,7.171428571428572
storeaw01,2.3833333333333333,1.35,0.35,0.429,10.5,0.3,-0.4,0.447,0.16666666666666666,0.03333333333333333,6.783333333333333
stoudda01,13.39749430523918,3.4612756264236904,6.117312072892939,0.464,15.4,55.4,16.8,0.505,1.0854214123006833,0.09225512528473805,33.1503416856492
stoudsa01,8.02547770700637,1.3630573248407643,1.0445859872611465,0.483,11.8,2.2,-0.6,0.526,0.3503184713375796,0.06369426751592357,17.019108280254777
stoudam01,18.905437352245862,7.839243498817967,1.2411347517730495,0.538,21.8,92.5,22.0,0.597,0.75177304964539,1.2458628841607564,31.03309692671395
strawdj01,2.212121212121212,0.8484848484848485,0.9090909090909091,0.348,6.2,-0.2,-0.2,0.364,0.36363636363636365,0.18181818181818182,8.181818181818182
stricer01,7.544910179640719,2.62874251497006,2.4011976047904193,0.451,12.7,13.4,1.9,0.5,0.8423153692614771,0.08183632734530938,20.3373253493014
stricro02,13.220292504570384,3.73308957952468,7.30073126142596,0.462,18.0,85.8,36.6,0.516,1.477148080438757,0.19652650822669104,30.744058500914075
strusma01,2.5,0.5,,0.667,30.7,0.0,0.0,0.727,-1.0,-1.0,3.0
stuckro01,12.572964669738864,2.9370199692780337,3.5837173579109063,0.443,14.9,28.7,4.9,0.512,0.8725038402457758,0.1443932411674347,27.480798771121353
sullija01,10.754646840148698,7.4572490706319705,1.7732342007434945,0.463,16.2,15.3,2.7,0.493,0.6691449814126395,0.5985130111524164,24.28252788104089
summeda01,3.3493975903614457,0.9879518072289156,0.3493975903614458,0.438,7.1,-0.1,-0.8,0.467,0.21686746987951808,0.0963855421686747,9.879518072289157
sumneed01,4.0,1.290909090909091,1.1818181818181819,0.457,9.4,0.5,-0.3,0.478,0.4909090909090909,0.2545454545454545,11.981818181818182
sundobr01,1.696078431372549,1.0490196078431373,0.17647058823529413,0.367,5.4,-0.7,-0.9,0.375,0.14705882352941177,0.13725490196078433,5.137254901960785
surabo01,8.60578386605784,3.409436834094368,3.765601217656012,0.46,14.3,28.3,9.4,0.512,0.9756468797564688,0.2161339421613394,23.73972602739726
swanica01,2.2533333333333334,2.9066666666666667,0.7466666666666667,0.444,6.8,-0.2,-0.7,0.471,0.18666666666666668,0.14666666666666667,8.733333333333333
sweetmi01,6.506437768240343,4.484978540772532,0.6223175965665236,0.485,15.1,7.8,-0.6,0.537,0.3133047210300429,0.4592274678111588,15.493562231759658
swiftro01,4.288659793814433,3.8762886597938144,0.20618556701030927,0.506,11.4,1.7,-0.7,0.531,0.26804123711340205,0.8865979381443299,15.463917525773196
swiftst01,8.376599634369287,4.634369287020109,0.5027422303473492,0.473,16.1,21.3,1.1,0.527,0.6471663619744058,1.2486288848263254,19.751371115173676
sypa01,2.3333333333333335,1.0,0.6666666666666666,0.333,9.2,0.0,0.0,0.478,0.3333333333333333,-1.0,7.0
szczewa02,14.12442396313364,3.996927803379416,2.3533026113671274,0.526,16.0,53.3,13.6,0.573,0.5960061443932412,0.2457757296466974,30.80184331797235
tabusyu01,1.75,1.0,0.75,0.25,15.6,0.0,0.0,0.451,-1.0,-1.0,4.25
taftch01,2.764705882352941,2.1176470588235294,0.11764705882352941,0.605,15.6,0.5,0.0,0.578,0.11764705882352941,0.4117647058823529,8.470588235294118
tatumja01,17.342222222222222,5.9511111111111115,2.2044444444444444,0.523,16.8,18.9,6.5,0.566,1.1555555555555554,0.7644444444444445,31.835555555555555
tavarwa01,2.5384615384615383,2.4615384615384617,0.3076923076923077,0.625,16.3,0.2,0.0,0.572,0.07692307692307693,0.9230769230769231,7.769230769230769
taylodo01,2.7142857142857144,1.0816326530612246,0.9183673469387755,0.408,10.2,0.0,-0.1,0.437,0.47959183673469385,0.07142857142857142,8.510204081632653
taylois01,6.309859154929577,1.3661971830985915,2.943661971830986,0.438,10.4,0.6,-0.8,0.487,0.49295774647887325,0.15492957746478872,17.169014084507044
tayloje03,6.113636363636363,1.9924242424242424,0.8106060606060606,0.465,8.9,1.3,-1.5,0.495,0.5454545454545454,0.1590909090909091,19.439393939393938
tayloje02,5.4,1.6615384615384616,0.7384615384615385,0.471,11.9,0.2,-0.3,0.505,0.36923076923076925,0.12307692307692308,12.092307692307692
tayloma01,11.02808988764045,4.591760299625468,1.1666666666666667,0.467,13.1,9.9,-5.3,0.501,0.4606741573033708,0.4850187265917603,24.95131086142322
taylomi01,5.666666666666667,1.7058823529411764,2.0784313725490198,0.436,10.1,-0.4,-0.6,0.477,0.7058823529411765,-1.0,15.117647058823529
tayloty01,2.8524590163934427,0.5409836065573771,0.9344262295081968,0.379,5.8,-0.9,-0.8,0.428,0.4098360655737705,0.01639344262295082,8.049180327868852
teaguje01,12.568093385214008,2.4656290531776914,5.775616083009079,0.488,17.0,50.8,14.4,0.549,1.1699092088197147,0.3437094682230869,27.514915693904022
teaguma01,2.3846153846153846,0.989010989010989,1.4725274725274726,0.363,4.9,-0.9,-1.0,0.398,0.25274725274725274,0.13186813186813187,9.989010989010989
teletmi01,8.135802469135802,3.2160493827160495,0.8425925925925926,0.524,13.0,8.8,1.8,0.543,0.32098765432098764,0.25308641975308643,17.79320987654321
telfase01,7.416666666666667,1.5921985815602837,3.475177304964539,0.436,10.8,5.0,-4.2,0.478,0.7322695035460993,0.13297872340425532,21.54078014184397
templga01,6.352430555555555,2.2864583333333335,1.71875,0.49,9.6,13.8,0.2,0.519,0.84375,0.3142361111111111,21.10590277777778
teodomi01,7.95,2.3666666666666667,4.016666666666667,0.543,11.0,1.3,-0.1,0.563,0.43333333333333335,0.1,21.4
terreja01,2.2142857142857144,0.42857142857142855,0.8571428571428571,0.359,0.7,-0.3,-0.2,0.372,0.21428571428571427,0.14285714285714285,7.928571428571429
terryem01,3.3333333333333335,2.3333333333333335,0.6666666666666666,0.571,19.7,0.1,0.0,0.571,1.0,-1.0,7.666666666666667
terryja01,13.390780141843972,2.321985815602837,3.8404255319148937,0.517,16.2,102.0,37.4,0.554,1.1368794326241134,0.1950354609929078,29.811347517730496
thabeha01,2.15625,2.65625,0.12053571428571429,0.567,10.3,4.8,-0.4,0.587,0.26339285714285715,0.8214285714285714,10.522321428571429
theisda01,6.731958762886598,4.768041237113402,1.211340206185567,0.596,17.2,13.6,2.7,0.625,0.4536082474226804,0.8969072164948454,17.577319587628867
thomaad01,2.3333333333333335,0.5,0.5,0.464,7.3,0.0,0.0,0.485,-1.0,-1.0,6.166666666666667
thomabi01,2.7169811320754715,0.9811320754716981,0.49056603773584906,0.44,7.8,0.4,-0.2,0.459,0.4716981132075472,0.03773584905660377,9.981132075471699
thomaet01,5.723716381418093,4.711491442542787,0.3643031784841076,0.513,14.5,14.9,-0.2,0.546,0.31295843520782396,1.0440097799511003,17.320293398533007
thomais02,18.11047619047619,2.453333333333333,4.9504761904761905,0.507,19.8,45.3,16.5,0.575,0.8838095238095238,0.10666666666666667,28.918095238095237
thomais01,19.225740551583247,3.5526046986721145,9.255362614913176,0.465,18.1,80.7,41.6,0.516,1.9009193054136875,0.254341164453524,36.27783452502553
thomaja02,1.6363636363636365,2.303030303030303,0.15151515151515152,0.564,9.1,0.4,-0.2,0.565,0.12121212121212122,0.21212121212121213,8.090909090909092
thomajo02,2.6923076923076925,2.076923076923077,0.28846153846153844,0.502,9.4,3.2,-1.4,0.529,0.3317307692307692,0.2403846153846154,10.83173076923077
thomake01,9.29746835443038,6.868670886075949,1.5427215189873418,0.471,13.9,31.2,3.1,0.514,0.8338607594936709,0.43670886075949367,27.382911392405063
thomakh01,2.2941176470588234,0.6176470588235294,0.3235294117647059,0.401,5.4,0.0,-0.2,0.421,0.29411764705882354,0.14705882352941177,7.529411764705882
thomaku01,8.083783783783783,6.601801801801802,1.0846846846846847,0.487,13.9,64.2,8.6,0.519,0.6522522522522523,0.7576576576576577,24.46846846846847
thomala01,5.137844611528822,2.5588972431077694,0.6666666666666666,0.462,8.3,5.3,-4.2,0.51,0.37092731829573933,0.13784461152882205,18.353383458646615
thomama01,1.9,2.4,0.35,0.442,8.4,0.1,-0.3,0.475,0.15,0.175,8.225
thomama02,4.926829268292683,1.4878048780487805,0.5365853658536586,0.643,13.3,1.2,0.3,0.65,0.24390243902439024,0.024390243902439025,10.731707317073171
